2016 04 08 00:34:30,0000
2016 04 08 00:34:37,0001
2016 04 08 00:35:15,0000
2016 04 08 00:37:11,0001
2016 04 08 00:37:22,0000
2016 04 08 00:38:06,0002
2016 04 08 00:38:17,0001
2016 04 08 00:38:18,0003
2016 04 08 00:38:23,0000
2016 04 08 00:39:21,0001
2016 04 08 00:39:21,0002
2016 04 08 00:39:21,0003
2016 04 08 00:39:22,0004
2016 04 08 00:39:25,0003
2016 04 08 00:39:25,0002
2016 04 08 00:39:25,0001
2016 04 08 00:39:25,0000
2016 04 08 00:43:18,0001
2016 04 08 00:46:08,0001
2016 04 08 00:46:11,0002
2016 04 08 00:46:14,0003
2016 04 08 00:46:17,0004
2016 04 08 00:46:20,0003
2016 04 08 00:47:01,0001
2016 04 08 00:47:04,0002
2016 04 08 00:47:08,0003
2016 04 08 00:47:12,0004
2016 04 08 00:47:20,0003
2016 04 08 00:47:22,0002
2016 04 08 00:47:26,0001
2016 04 08 00:47:26,0000
